iter	Passed	Remaining
706	22396	9281
707	22421	9247
708	22447	9213
709	22472	9178
710	22497	9144
711	22522	9110
712	22547	9076
713	22573	9042
714	22598	9007
715	22625	8974
716	22650	8940
717	22675	8906
718	22700	8871
719	22725	8837
720	22751	8804
721	22777	8770
722	22802	8736
723	22828	8702
724	22853	8668
725	22878	8634
726	22903	8600
727	22929	8567
728	22955	8533
729	22981	8500
730	23006	8466
731	23031	8432
732	23057	8398
733	23083	8365
734	23108	8331
735	23135	8298
736	23159	8264
737	23186	8231
738	23210	8197
739	23237	8164
740	23263	8131
741	23288	8097
742	23314	8064
743	23339	8030
744	23364	7997
745	23388	7963
746	23415	7930
747	23440	7897
748	23466	7863
749	23492	7830
750	23516	7797
751	23541	7763
752	23567	7730
753	23592	7697
754	23616	7663
755	23640	7630
756	23665	7596
757	23690	7563
758	23716	7530
759	23740	7497
760	23765	7463
761	23791	7430
762	23815	7397
763	23841	7364
764	23866	7331
765	23892	7298
766	23917	7265
767	23944	7233
768	23968	7199
769	23994	7167
770	24019	7134
771	24045	7101
772	24072	7069
773	24097	7036
774	24123	7003
775	24148	6970
776	24174	6938
777	24199	6905
778	24224	6872
779	24250	6839
780	24275	6807
781	24300	6774
782	24325	6741
783	24351	6708
784	24376	6676
785	24401	6643
786	24427	6611
787	24453	6578
788	24477	6545
789	24502	6513
790	24527	6480
791	24553	6448
792	24577	6415
793	24603	6383
794	24628	6350
795	24654	6318
796	24680	6286
797	24705	6253
798	24731	6221
799	24756	6189
800	24782	6156
801	24806	6124
802	24831	6091
803	24856	6059
804	24883	6027
805	24913	5996
806	24941	5964
807	24969	5933
808	24998	5901
809	25026	5870
810	25053	5838
811	25081	5806
812	25106	5774
813	25131	5742
814	25157	5710
815	25183	5678
816	25209	5646
817	25234	5614
818	25259	5582
819	25284	5550
820	25310	5518
821	25335	5486
822	25360	5454
823	25385	5422
824	25410	5390
825	25435	5358
826	25461	5326
827	25486	5294
828	25512	5262
829	25539	5231
830	25569	5199
831	25599	5169
832	25629	5138
833	25661	5107
834	25688	5076
835	25736	5048
836	25762	5017
837	25788	4985
838	25814	4953
839	25839	4921
840	25865	4890
841	25891	4858
842	25916	4826
843	25941	4794
844	25966	4763
845	25993	4731
846	26021	4700
847	26048	4669
848	26077	4638
849	26105	4606
850	26133	4575
851	26160	4544
852	26187	4512
853	26214	4481
854	26242	4450
855	26272	4419
856	26298	4388
857	26328	4357
858	26357	4326
859	26384	4295
860	26409	4263
861	26434	4232
862	26460	4200
863	26490	4169
864	26519	4138
865	26547	4107
866	26575	4076
867	26605	4046
868	26634	4015
869	26662	3983
870	26690	3952
871	26719	3922
872	26749	3891
873	26777	3860
874	26803	3829
875	26829	3797
876	26855	3766
877	26881	3735
878	26906	3703
879	26932	3672
880	26957	3641
881	26983	3610
882	27010	3578
883	27038	3547
884	27067	3517
885	27096	3486
886	27123	3455
887	27151	3424
888	27179	3393
889	27206	3362
890	27232	3331
891	27261	3300
892	27286	3269
893	27313	3238
894	27338	3207
895	27363	3176
896	27388	3144
897	27414	3113
898	27439	3082
899	27464	3051
900	27489	3020
901	27515	2989
902	27542	2958
903	27567	2927
904	27593	2896
905	27618	2865
906	27642	2834
907	27667	2803
908	27694	2772
909	27718	2741
910	27744	2710
911	27768	2679
912	27794	2648
913	27820	2617
914	27845	2586
915	27871	2555
916	27896	2524
917	27922	2494
918	27947	2463
919	27974	2432
920	28002	2401
921	28029	2371
922	28057	2340
923	28090	2310
924	28118	2279
925	28144	2249
926	28170	2218
927	28198	2187
928	28224	2157
929	28252	2126
930	28277	2095
931	28303	2065
932	28329	2034
933	28355	2003
934	28383	1973
935	28410	1942
936	28439	1912
937	28468	1881
938	28502	1851
939	28532	1821
940	28561	1790
941	28591	1760
942	28621	1730
943	28649	1699
944	28677	1669
945	28703	1638
946	28730	1607
947	28757	1577
948	28784	1546
949	28811	1516
950	28837	1485
951	28862	1455
952	28888	1424
953	28913	1394
954	28939	1363
955	28964	1333
956	28991	1302
957	29017	1272
958	29043	1241
959	29068	1211
960	29094	1180
961	29119	1150
962	29144	1119
963	29169	1089
964	29194	1058
965	29219	1028
966	29245	998
967	29269	967
968	29295	937
969	29321	906
970	29347	876
971	29374	846
972	29399	815
973	29426	785
974	29451	755
975	29477	724
976	29505	694
977	29532	664
978	29558	634
979	29584	603
980	29609	573
981	29636	543
982	29660	512
983	29686	482
984	29712	452
985	29737	422
986	29763	392
987	29788	361
988	29814	331
989	29839	301
990	29864	271
991	29888	241
992	29914	210
993	29938	180
994	29964	150
995	29990	120
